id;guid;sort_order;initial_word;target_word;read_instructions;written_instructions
1;d8ecaaf0-a3c7-4432-a485-53d5daa86c11;47527;Intranet Nakfa Bahamas;Group Money Market Account;West Virginia;grow
2;e8da568d-2b66-49af-b970-f006335e1991;39352;Agent channels Keys;Drive Branding;SDR digital Wisconsin;Buckinghamshire Wells
3;08eeda0f-e7fe-4154-92ba-0fdf07d45a28;11483;Rustic Loaf;Forward Monitored;AGP;withdrawal
4;da903e52-7745-4dc6-b525-7f096451b05a;68907;Sharable;extend;back-end Granite COM;Borders AI
5;d8ea6d24-9a5d-4164-95df-79e7a61fc7fb;56578;Mouse;Dynamic challenge;Representative;District back-end
6;79e8ce8e-7909-4eaf-8480-a9b91892a958;67053;Berkshire eyeballs mint green;Architect portals;deposit;cyan
7;1423847c-f4c0-4833-ba0e-00e23ca47f66;99962;Sleek Steel Chair;Intelligent Louisiana Fish;contextually-based Analyst;Belarus encompassing
8;898d49e8-7b1c-46df-96a9-d1c1ff668692;58659;Team-oriented mission-critical Buckinghamshire;sexy yellow seize;JBOD visionary Towels;Handcrafted Plastic Chair Republic of Korea Paradigm
9;4d37e45e-c962-4ffa-90b9-623d197796af;9212;Bedfordshire Product Awesome;syndicate paradigms Coordinator;Mission Robust;Dynamic feed
10;73c4b55a-053e-4bb8-9ab7-14d58fcb6746;9000;Massachusetts;ADP Bacon;Sports Awesome;Assistant
